                       OLS Regression Results                      
Dep. Variable:   ,click_bool      ,  R-squared:         ,   0.039  
Model:           ,OLS             ,  Adj. R-squared:    ,   0.039  
Method:          ,Least Squares   ,  F-statistic:       ,   156.3  
Date:            ,Tue, 11 May 2021,  Prob (F-statistic):,  0.00    
Time:            ,23:22:27        ,  Log-Likelihood:    ,8.7973e+05
No. Observations:,4958347         ,  AIC:               ,-1.757e+06
Df Residuals:    ,4957043         ,  BIC:               ,-1.739e+06
Df Model:        ,  1303          ,                     ,          
Covariance Type: ,nonrobust       ,                     ,          
     ,   coef   , std err ,    t    ,P>|t| ,  [0.025 ,  0.975] 
x66  ,-1.254e-07, 7.48e-08,   -1.676, 0.094,-2.72e-07, 2.12e-08
x67  ,   -0.0005,    0.000,   -1.473, 0.141,   -0.001,    0.000
x68  ,-1.788e-05, 1.29e-05,   -1.390, 0.164,-4.31e-05, 7.33e-06
x69  ,    0.0013,    0.001,    1.608, 0.108,   -0.000,    0.003
x70  ,    0.0026,    0.001,    2.915, 0.004,    0.001,    0.004
x71  ,    0.0006,    0.002,    0.358, 0.721,   -0.003,    0.004
x72  ,   -0.0010,    0.001,   -0.757, 0.449,   -0.004,    0.002
x73  , 2.901e-07, 4.05e-07,    0.717, 0.474,-5.03e-07, 1.08e-06
x74  ,   -0.0051,    0.001,   -3.671, 0.000,   -0.008,   -0.002
x75  ,    0.0058,    0.001,    4.267, 0.000,    0.003,    0.008
x76  , 1.073e-05,    0.000,    0.027, 0.978,   -0.001,    0.001
x77  ,    0.0488,    0.006,    8.599, 0.000,    0.038,    0.060
x78  ,   -0.0003,    0.000,   -1.181, 0.238,   -0.001,    0.000
x79  ,   -0.0006, 5.57e-05,  -10.086, 0.000,   -0.001,   -0.000
x80  ,-3.069e-07, 1.77e-07,   -1.737, 0.082,-6.53e-07, 3.94e-08
x81  ,    0.0115,    0.002,    5.771, 0.000,    0.008,    0.015
x82  ,-4.185e-08, 6.89e-08,   -0.607, 0.544,-1.77e-07, 9.32e-08
x83  ,   -0.0005,    0.000,   -1.740, 0.082,   -0.001, 6.18e-05
x84  , 5.927e-06, 1.19e-05,    0.500, 0.617,-1.73e-05, 2.92e-05
x85  ,   -0.0002,    0.001,   -0.280, 0.780,   -0.002,    0.001
x86  ,    0.0019,    0.001,    2.179, 0.029,    0.000,    0.004
x87  ,    0.0030,    0.002,    1.801, 0.072,   -0.000,    0.006
x88  ,    0.0010,    0.001,    0.772, 0.440,   -0.001,    0.003
x89  ,-3.653e-07, 3.49e-07,   -1.046, 0.296,-1.05e-06, 3.19e-07
x90  ,   -0.0051,    0.001,   -4.047, 0.000,   -0.008,   -0.003
x91  ,   -0.0026,    0.001,   -2.319, 0.020,   -0.005,   -0.000
x92  ,    0.0345,    0.012,    2.763, 0.006,    0.010,    0.059
x93  ,   -0.0005,    0.001,   -0.623, 0.534,   -0.002,    0.001
x94  ,   -0.0003,    0.000,   -2.229, 0.026,   -0.001,-3.85e-05
x95  ,-1.902e-07, 3.62e-07,   -0.525, 0.600,-9.01e-07,  5.2e-07
x96  ,    0.0011,    0.004,    0.284, 0.777,   -0.007,    0.009
x97  ,-4.937e-07, 1.79e-07,   -2.761, 0.006,-8.44e-07,-1.43e-07
x98  ,   -0.0002,    0.001,   -0.315, 0.753,   -0.002,    0.001
x99  , -1.33e-05, 3.06e-05,   -0.434, 0.664,-7.33e-05, 4.67e-05
x100 ,   -0.0062,    0.002,   -3.159, 0.002,   -0.010,   -0.002
x101 ,    0.0032,    0.002,    1.520, 0.128,   -0.001,    0.007
x102 ,    0.0098,    0.004,    2.398, 0.016,    0.002,    0.018
x103 ,   -0.0005,    0.003,   -0.152, 0.879,   -0.007,    0.006
x104 , 2.178e-07, 9.66e-07,    0.226, 0.822,-1.67e-06, 2.11e-06
x105 ,   -0.0137,    0.003,   -4.143, 0.000,   -0.020,   -0.007
x106 ,   -0.0668,    0.003,  -19.720, 0.000,   -0.073,   -0.060
x107 ,   -0.0002,    0.000,   -0.789, 0.430,   -0.001,    0.000
x108 ,   -0.0006, 4.45e-05,  -12.640, 0.000,   -0.001,   -0.000
x109 , 1.175e-07,  2.6e-07,    0.452, 0.651,-3.92e-07, 6.27e-07
x110 ,    0.0040,    0.001,    2.936, 0.003,    0.001,    0.007
x111 ,-1.484e-10, 5.78e-08,   -0.003, 0.998,-1.13e-07, 1.13e-07
x112 , 9.207e-05,    0.000,    0.380, 0.704,   -0.000,    0.001
x113 ,-1.484e-05, 9.49e-06,   -1.563, 0.118,-3.35e-05, 3.77e-06
x114 ,-7.152e-05,    0.001,   -0.117, 0.907,   -0.001,    0.001
x115 ,   -0.0004,    0.001,   -0.601, 0.548,   -0.002,    0.001
x116 ,    0.0013,    0.001,    0.974, 0.330,   -0.001,    0.004
x117 ,   -0.0014,    0.001,   -1.365, 0.172,   -0.003,    0.001
x118 ,-7.738e-08, 2.93e-07,   -0.264, 0.792,-6.52e-07, 4.98e-07
x119 ,    0.0007,    0.001,    0.663, 0.508,   -0.001,    0.003
x120 ,    0.0074,    0.003,    2.534, 0.011,    0.002,    0.013
x121 ,   -0.0212,    0.001,  -40.723, 0.000,   -0.022,   -0.020
x122 ,-2.398e-06, 2.51e-06,   -0.957, 0.339,-7.31e-06, 2.51e-06
x123 ,    0.0954,    0.014,    6.673, 0.000,    0.067,    0.123
x124 ,-5.626e-07, 6.35e-07,   -0.887, 0.375,-1.81e-06, 6.81e-07
x125 ,   -0.0053,    0.003,   -1.908, 0.056,   -0.011,    0.000
x126 ,-1.444e-05,    0.000,   -0.136, 0.892,   -0.000,    0.000
x127 ,   -0.0338,    0.007,   -4.797, 0.000,   -0.048,   -0.020
x128 ,    0.0013,    0.008,    0.163, 0.871,   -0.015,    0.017
x129 ,    0.0476,    0.015,    3.183, 0.001,    0.018,    0.077
x130 ,    0.0240,    0.011,    2.190, 0.029,    0.003,    0.045
x131 , 1.183e-06, 3.15e-06,    0.376, 0.707,-4.99e-06, 7.35e-06
x132 ,   -0.0527,    0.011,   -4.592, 0.000,   -0.075,   -0.030
x133 , 5.138e-05, 3.28e-05,    1.565, 0.118, -1.3e-05,    0.000
x134 ,-7.839e-07, 4.33e-07,   -1.809, 0.070,-1.63e-06, 6.52e-08
x135 ,   -0.0004,    0.001,   -0.373, 0.709,   -0.002,    0.002
x136 ,-2.902e-08, 4.11e-08,   -0.705, 0.481, -1.1e-07, 5.16e-08
x137 , -8.81e-05,    0.000,   -0.500, 0.617,   -0.000,    0.000
x138 , 1.938e-05,  7.8e-06,    2.483, 0.013, 4.08e-06, 3.47e-05
x139 ,   -0.0002,    0.000,   -0.414, 0.679,   -0.001,    0.001
x140 ,    0.0008,    0.000,    1.662, 0.097,   -0.000,    0.002
x141 ,    0.0007,    0.001,    0.749, 0.454,   -0.001,    0.003
x142 ,    0.0001,    0.001,    0.149, 0.881,   -0.001,    0.002
x143 ,-8.635e-08, 2.27e-07,   -0.380, 0.704,-5.31e-07, 3.59e-07
x144 ,   -0.0008,    0.001,   -1.022, 0.307,   -0.002,    0.001
x145 , 7.093e-09, 2.18e-08,    0.326, 0.745,-3.56e-08, 4.98e-08
x146 ,   -0.0007,    0.000,   -3.995, 0.000,   -0.001,   -0.000
x147 ,-1.986e-09, 7.35e-09,   -0.270, 0.787,-1.64e-08, 1.24e-08
x148 , 4.566e-05, 3.18e-05,    1.435, 0.151,-1.67e-05,    0.000
