                       OLS Regression Results                      
Dep. Variable:   ,click_bool      ,  R-squared:         ,   0.039  
Model:           ,OLS             ,  Adj. R-squared:    ,   0.039  
Method:          ,Least Squares   ,  F-statistic:       ,   156.3  
Date:            ,Tue, 11 May 2021,  Prob (F-statistic):,  0.00    
Time:            ,23:22:27        ,  Log-Likelihood:    ,8.7973e+05
No. Observations:,4958347         ,  AIC:               ,-1.757e+06
Df Residuals:    ,4957043         ,  BIC:               ,-1.739e+06
Df Model:        ,  1303          ,                     ,          
Covariance Type: ,nonrobust       ,                     ,          
     ,   coef   , std err ,    t    ,P>|t| ,  [0.025 ,  0.975] 
x284 ,-9.574e-09, 2.11e-08,   -0.453, 0.651, -5.1e-08, 3.19e-08
x285 , 7.019e-07, 1.56e-06,    0.450, 0.652,-2.35e-06, 3.76e-06
x286 , 2.522e-06, 1.75e-06,    1.438, 0.150,-9.15e-07, 5.96e-06
x287 ,-2.984e-06, 3.22e-06,   -0.925, 0.355, -9.3e-06, 3.34e-06
x288 , 2.881e-06, 2.51e-06,    1.147, 0.251,-2.04e-06,  7.8e-06
x289 , 2.369e-10,  6.9e-10,    0.343, 0.731,-1.12e-09, 1.59e-09
x290 , -1.33e-06, 2.57e-06,   -0.517, 0.605,-6.37e-06, 3.71e-06
x291 ,-1.128e-05, 6.71e-06,   -1.680, 0.093,-2.44e-05, 1.88e-06
x292 , 5.061e-06, 1.22e-06,    4.137, 0.000, 2.66e-06, 7.46e-06
x293 ,-9.574e-09, 8.41e-09,   -1.138, 0.255,-2.61e-08, 6.91e-09
x294 ,  6.56e-05,  2.8e-05,    2.341, 0.019, 1.07e-05,    0.000
x295 ,   2.6e-09, 1.48e-09,    1.753, 0.080,-3.07e-10, 5.51e-09
x296 ,-1.178e-05, 5.99e-06,   -1.967, 0.049,-2.35e-05,-4.17e-08
x297 ,  5.62e-07, 2.17e-07,    2.593, 0.010, 1.37e-07, 9.87e-07
x298 , 2.093e-05, 1.62e-05,    1.289, 0.198,-1.09e-05, 5.28e-05
x299 ,-3.275e-05, 1.91e-05,   -1.718, 0.086,-7.01e-05, 4.61e-06
x300 ,-6.484e-05, 3.33e-05,   -1.948, 0.051,   -0.000, 4.12e-07
x301 ,-4.199e-05, 2.57e-05,   -1.631, 0.103,-9.24e-05, 8.46e-06
x302 , 6.757e-09, 6.95e-09,    0.972, 0.331,-6.87e-09, 2.04e-08
x303 ,  3.26e-05, 2.64e-05,    1.237, 0.216,-1.91e-05, 8.43e-05
x304 ,-1.264e-07, 8.94e-08,   -1.414, 0.158,-3.02e-07, 4.88e-08
x305 ,-5.082e-10,  9.7e-10,   -0.524, 0.600,-2.41e-09, 1.39e-09
x306 ,-1.376e-06, 2.12e-06,   -0.649, 0.516,-5.53e-06, 2.78e-06
x307 , 7.083e-11, 1.11e-10,    0.639, 0.523,-1.46e-10, 2.88e-10
x308 , 3.109e-07, 4.15e-07,    0.749, 0.454,-5.02e-07, 1.12e-06
x309 ,-1.322e-08, 1.85e-08,   -0.715, 0.475,-4.95e-08,  2.3e-08
x310 , 2.824e-07, 1.16e-06,    0.243, 0.808,-1.99e-06, 2.56e-06
x311 ,-1.204e-06, 1.24e-06,   -0.973, 0.330,-3.63e-06, 1.22e-06
x312 ,-5.359e-07, 2.44e-06,   -0.220, 0.826,-5.31e-06, 4.24e-06
x313 , 1.307e-06, 1.93e-06,    0.676, 0.499,-2.48e-06, 5.09e-06
x314 , 4.681e-10, 5.53e-10,    0.847, 0.397,-6.15e-10, 1.55e-09
x315 ,-5.669e-07, 1.98e-06,   -0.287, 0.774,-4.44e-06, 3.31e-06
x316 ,-1.418e-11,  5.9e-11,   -0.240, 0.810, -1.3e-10, 1.01e-10
x317 ,  1.27e-06, 3.82e-07,    3.325, 0.001, 5.22e-07, 2.02e-06
x318 ,-2.828e-11, 1.97e-11,   -1.435, 0.151,-6.69e-11, 1.03e-11
x319 ,-5.064e-08, 7.53e-08,   -0.673, 0.501,-1.98e-07, 9.69e-08
x320 ,   2.4e-09, 2.92e-09,    0.822, 0.411,-3.32e-09, 8.12e-09
x321 , -6.17e-07, 2.12e-07,   -2.916, 0.004,-1.03e-06,-2.02e-07
x322 , 1.655e-07,  2.3e-07,    0.720, 0.471,-2.85e-07, 6.16e-07
x323 , 1.664e-06, 4.29e-07,    3.878, 0.000, 8.23e-07,  2.5e-06
x324 ,-9.855e-08, 3.45e-07,   -0.286, 0.775,-7.75e-07, 5.77e-07
x325 ,-2.239e-11, 9.81e-11,   -0.228, 0.819,-2.15e-10,  1.7e-10
x326 , 5.601e-07, 3.57e-07,    1.570, 0.116,-1.39e-07, 1.26e-06
x327 ,-2.219e-09, 1.29e-09,   -1.724, 0.085,-4.74e-09, 3.03e-10
x328 ,-4.715e-14, 1.94e-13,   -0.243, 0.808,-4.28e-13, 3.34e-13
x329 , 3.567e-09, 1.65e-09,    2.157, 0.031, 3.25e-10, 6.81e-09
x330 , 7.531e-11,  8.4e-11,    0.897, 0.370,-8.93e-11,  2.4e-10
x331 ,  2.06e-09, 4.36e-09,    0.473, 0.636,-6.48e-09, 1.06e-08
x332 ,-1.622e-08,  5.4e-09,   -3.005, 0.003,-2.68e-08,-5.64e-09
x333 ,-1.686e-08, 1.03e-08,   -1.640, 0.101, -3.7e-08, 3.29e-09
x334 ,-2.547e-09, 5.04e-09,   -0.505, 0.613,-1.24e-08, 7.33e-09
x335 ,-3.825e-12, 2.71e-12,   -1.411, 0.158,-9.14e-12, 1.49e-12
x336 ,-1.983e-09, 6.53e-09,   -0.303, 0.762,-1.48e-08, 1.08e-08
x337 ,-2.446e-10, 4.74e-10,   -0.516, 0.606,-1.17e-09, 6.84e-10
x338 , 9.792e-07, 1.74e-06,    0.562, 0.574,-2.43e-06, 4.39e-06
x339 ,-2.928e-07, 7.35e-08,   -3.983, 0.000,-4.37e-07,-1.49e-07
x340 , 1.265e-05,  5.1e-06,    2.482, 0.013, 2.66e-06, 2.26e-05
x341 ,  2.09e-06, 5.59e-06,    0.374, 0.709,-8.87e-06, 1.31e-05
x342 ,-6.615e-06, 1.02e-05,   -0.646, 0.518,-2.67e-05, 1.35e-05
x343 ,-1.708e-05, 8.38e-06,   -2.040, 0.041,-3.35e-05,-6.68e-07
x344 , 4.126e-09, 2.27e-09,    1.819, 0.069,-3.19e-10, 8.57e-09
x345 ,-8.206e-06, 8.68e-06,   -0.945, 0.344,-2.52e-05,  8.8e-06
x346 , 2.991e-11, 9.38e-11,    0.319, 0.750,-1.54e-10, 2.14e-10
x347 , -4.84e-12, 3.64e-12,   -1.328, 0.184, -1.2e-11,  2.3e-12
x348 , 1.177e-10, 2.63e-10,    0.447, 0.655,-3.98e-10, 6.33e-10
x349 ,-3.894e-10,  2.9e-10,   -1.340, 0.180,-9.59e-10,  1.8e-10
x350 , 4.076e-10, 5.39e-10,    0.756, 0.449,-6.49e-10, 1.46e-09
x351 ,-1.289e-10, 4.24e-10,   -0.304, 0.761, -9.6e-10, 7.02e-10
x352 ,-3.417e-15, 1.19e-13,   -0.029, 0.977,-2.38e-13, 2.31e-13
x353 , 5.853e-10, 4.41e-10,    1.328, 0.184,-2.78e-10, 1.45e-09
x354 , 1.028e-09, 1.18e-08,    0.087, 0.930,-2.21e-08, 2.41e-08
x355 , 9.284e-07, 1.05e-06,    0.886, 0.376,-1.13e-06, 2.98e-06
x356 , 8.149e-07, 1.08e-06,    0.754, 0.451, -1.3e-06, 2.93e-06
x357 ,-5.034e-07, 2.24e-06,   -0.225, 0.822,-4.89e-06, 3.88e-06
x358 ,-2.579e-07, 2.75e-06,   -0.094, 0.925,-5.66e-06, 5.14e-06
x359 , 5.018e-10, 3.96e-10,    1.266, 0.206,-2.75e-10, 1.28e-09
x360 ,-2.773e-07, 1.58e-06,   -0.175, 0.861,-3.38e-06, 2.82e-06
x361 ,  8.57e-10, 3.84e-08,    0.022, 0.982,-7.45e-08, 7.62e-08
x362 ,-4.444e-08, 4.09e-08,   -1.085, 0.278,-1.25e-07, 3.58e-08
x363 , 8.822e-08, 7.58e-08,    1.163, 0.245,-6.04e-08, 2.37e-07
x364 ,  -5.1e-09, 6.51e-08,   -0.078, 0.938,-1.33e-07, 1.22e-07
x365 , 3.956e-12, 1.58e-11,    0.250, 0.803,-2.71e-11,  3.5e-11
x366 ,-2.277e-09, 6.22e-08,   -0.037, 0.971,-1.24e-07,  1.2e-07
x367 , 1.962e-06, 2.77e-06,    0.708, 0.479,-3.47e-06,  7.4e-06
x368 ,  -5.2e-07, 1.95e-06,   -0.267, 0.789,-4.33e-06, 3.29e-06
x369 , 3.177e-06, 4.58e-06,    0.694, 0.488,-5.79e-06, 1.21e-05
x370 , 1.283e-09, 1.33e-09,    0.967, 0.334,-1.32e-09, 3.88e-09
x371 ,-5.771e-06, 4.76e-06,   -1.213, 0.225,-1.51e-05, 3.56e-06
x372 ,-7.307e-06, 5.12e-06,   -1.428, 0.153,-1.73e-05, 2.72e-06
x373 , 6.043e-07, 5.06e-06,    0.119, 0.905,-9.32e-06, 1.05e-05
x374 , 2.994e-09, 1.61e-09,    1.865, 0.062,-1.53e-10, 6.14e-09
x375 ,-4.515e-07, 5.14e-06,   -0.088, 0.930,-1.05e-05, 9.62e-06
x376 , 3.589e-06, 9.33e-06,    0.385, 0.700,-1.47e-05, 2.19e-05
x377 ,-3.272e-09, 2.85e-09,   -1.147, 0.251,-8.86e-09, 2.32e-09
x378 ,-5.828e-06, 9.87e-06,   -0.591, 0.555,-2.52e-05, 1.35e-05
x379 , 8.479e-11, 2.15e-09,    0.039, 0.969,-4.13e-09,  4.3e-09
x380 ,-2.988e-06, 7.77e-06,   -0.384, 0.701,-1.82e-05, 1.22e-05
x381 ,-3.367e-09,  2.2e-09,   -1.531, 0.126,-7.68e-09, 9.44e-10
x382 ,-7.587e-06, 1.23e-06,   -6.152, 0.000,   -1e-05,-5.17e-06
x383 , 2.617e-05, 3.71e-06,    7.062, 0.000, 1.89e-05, 3.34e-05
x384 , 1.005e-06, 1.09e-06,    0.918, 0.358,-1.14e-06, 3.15e-06
x385 , -1.18e-05, 1.31e-05,   -0.902, 0.367,-3.74e-05, 1.38e-05
x386 ,-2.973e-07, 9.09e-07,   -0.327, 0.744,-2.08e-06, 1.48e-06
x387 ,-5.449e-07, 1.71e-07,   -3.191, 0.001, -8.8e-07, -2.1e-07
x388 ,-8.831e-10,  7.7e-10,   -1.147, 0.251,-2.39e-09, 6.26e-10
x389 , 1.025e-05, 4.73e-06,    2.167, 0.030, 9.79e-07, 1.95e-05
x390 , 1.319e-11, 2.13e-10,    0.062, 0.951,-4.03e-10,  4.3e-10
x391 ,-1.688e-06, 7.84e-07,   -2.153, 0.031,-3.22e-06,-1.51e-07
x392 ,-4.596e-08, 2.99e-08,   -1.538, 0.124,-1.05e-07, 1.26e-08
x393 ,-4.082e-06,  2.4e-06,   -1.698, 0.090, -8.8e-06, 6.31e-07
x394 ,  -2.7e-06,  2.6e-06,   -1.039, 0.299,-7.79e-06, 2.39e-06
x395 , 5.846e-06,  5.2e-06,    1.124, 0.261,-4.35e-06,  1.6e-05
x396 ,-2.058e-06, 3.68e-06,   -0.560, 0.576,-9.27e-06, 5.15e-06
x397 ,-2.383e-10, 8.55e-10,   -0.279, 0.780,-1.91e-09, 1.44e-09
x398 ,-6.764e-06, 3.75e-06,   -1.804, 0.071,-1.41e-05, 5.84e-07
x399 ,-1.378e-05, 3.58e-06,   -3.847, 0.000,-2.08e-05,-6.76e-06
x400 ,-3.142e-06, 9.69e-07,   -3.243, 0.001,-5.04e-06,-1.24e-06
x401 , 2.892e-06, 1.42e-05,    0.204, 0.838,-2.49e-05, 3.06e-05
x402 ,-1.013e-07, 7.72e-07,   -0.131, 0.896,-1.61e-06, 1.41e-06
x403 , 4.674e-07, 1.55e-07,    3.021, 0.003, 1.64e-07, 7.71e-07
x404 ,-5.428e-11, 5.46e-10,   -0.100, 0.921,-1.12e-09, 1.01e-09
x405 , -1.08e-05, 4.55e-06,   -2.376, 0.018,-1.97e-05,-1.89e-06
x406 ,-6.315e-12, 1.84e-10,   -0.034, 0.973,-3.67e-10, 3.55e-10
x407 , 7.854e-07, 6.43e-07,    1.221, 0.222,-4.76e-07, 2.05e-06
x408 , 5.233e-08, 2.71e-08,    1.933, 0.053, -7.3e-10, 1.05e-07
x409 , 2.474e-06, 2.15e-06,    1.150, 0.250,-1.74e-06, 6.69e-06
x410 ,-1.992e-06, 2.43e-06,   -0.820, 0.412,-6.75e-06, 2.77e-06
x411 ,-1.942e-06, 4.74e-06,   -0.410, 0.682,-1.12e-05, 7.35e-06
x412 ,-6.039e-07, 3.28e-06,   -0.184, 0.854,-7.04e-06, 5.83e-06
x413 , 1.466e-09,  7.2e-10,    2.038, 0.042, 5.61e-11, 2.88e-09
x414 , 3.255e-06, 3.27e-06,    0.996, 0.319,-3.15e-06, 9.66e-06
x415 , -1.06e-06, 2.45e-06,   -0.433, 0.665,-5.86e-06, 3.74e-06
x416 ,   -0.0001, 2.67e-05,   -4.574, 0.000,   -0.000,-6.98e-05
x417 ,  3.08e-07,  1.9e-06,    0.162, 0.871,-3.41e-06, 4.02e-06
x418 ,  1.29e-06,  3.5e-07,    3.685, 0.000, 6.04e-07, 1.98e-06
x419 , 4.267e-10,    1e-09,    0.426, 0.670,-1.53e-09, 2.39e-09
x420 ,-9.793e-07, 8.09e-06,   -0.121, 0.904,-1.68e-05, 1.49e-05
x421 , 1.556e-09, 4.31e-10,    3.613, 0.000, 7.12e-10,  2.4e-09
x422 ,-1.939e-06, 1.64e-06,   -1.185, 0.236,-5.15e-06, 1.27e-06
x423 , -4.37e-08, 6.18e-08,   -0.707, 0.480,-1.65e-07, 7.75e-08
x424 ,-4.643e-06, 4.74e-06,   -0.979, 0.328,-1.39e-05, 4.65e-06
x425 , 2.593e-06, 5.27e-06,    0.492, 0.623,-7.74e-06, 1.29e-05
x426 , 1.169e-05, 9.64e-06,    1.213, 0.225, -7.2e-06, 3.06e-05
x427 ,-1.656e-05, 7.47e-06,   -2.218, 0.027,-3.12e-05,-1.93e-06
x428 , -3.59e-10, 1.75e-09,   -0.206, 0.837,-3.78e-09, 3.06e-09
x429 ,-4.982e-05, 7.74e-06,   -6.437, 0.000, -6.5e-05,-3.46e-05
x430 ,-4.706e-05, 7.74e-06,   -6.080, 0.000,-6.22e-05,-3.19e-05
x431 , 1.327e-06, 6.18e-07,    2.146, 0.032, 1.15e-07, 2.54e-06
x432 , 5.588e-07, 1.14e-07,    4.899, 0.000, 3.35e-07, 7.82e-07
x433 ,-8.454e-10,  6.1e-10,   -1.387, 0.166,-2.04e-09, 3.49e-10
x434 ,-1.118e-05, 2.76e-06,   -4.049, 0.000,-1.66e-05,-5.77e-06
x435 ,-3.225e-11, 1.43e-10,   -0.225, 0.822,-3.13e-10, 2.49e-10
x436 , 1.866e-07,  5.3e-07,    0.352, 0.725,-8.52e-07, 1.23e-06
x437 ,-2.742e-08, 2.01e-08,   -1.367, 0.172,-6.67e-08, 1.19e-08
x438 ,-1.961e-06, 1.55e-06,   -1.265, 0.206,   -5e-06, 1.08e-06
x439 , 6.978e-08, 1.77e-06,    0.040, 0.968,-3.39e-06, 3.53e-06
x440 , 2.231e-06,  3.2e-06,    0.698, 0.485,-4.03e-06, 8.49e-06
x441 , -3.45e-06, 2.47e-06,   -1.398, 0.162,-8.29e-06, 1.39e-06
x442 , 8.737e-10, 5.67e-10,    1.540, 0.124,-2.38e-10, 1.99e-09
x443 ,-7.951e-06, 2.54e-06,   -3.136, 0.002,-1.29e-05,-2.98e-06
x444 , 2.819e-06, 6.66e-06,    0.424, 0.672,-1.02e-05, 1.59e-05
x445 , 1.434e-05, 1.24e-06,   11.584, 0.000, 1.19e-05, 1.68e-05
x446 ,-9.518e-10, 7.33e-09,   -0.130, 0.897,-1.53e-08, 1.34e-08
x447 , -1.49e-05, 2.78e-05,   -0.535, 0.592,-6.95e-05, 3.97e-05
x448 ,  2.77e-09, 1.51e-09,    1.833, 0.067,-1.92e-10, 5.73e-09
x449 , 3.391e-06, 5.95e-06,    0.570, 0.569,-8.28e-06, 1.51e-05
x450 ,  1.02e-07, 2.13e-07,    0.480, 0.631,-3.14e-07, 5.19e-07
x451 , 1.774e-05, 1.65e-05,    1.072, 0.284,-1.47e-05, 5.02e-05
x452 , 2.328e-05,    2e-05,    1.163, 0.245, -1.6e-05, 6.25e-05
x453 ,-1.988e-05, 3.41e-05,   -0.583, 0.560,-8.67e-05,  4.7e-05
x454 , 1.131e-05, 2.58e-05,    0.438, 0.661,-3.93e-05, 6.19e-05
x455 , 4.105e-09, 5.82e-09,    0.705, 0.481,-7.31e-09, 1.55e-08
x456 , 2.371e-06, 2.63e-05,    0.090, 0.928,-4.93e-05,  5.4e-05
x457 , 1.092e-08, 9.04e-08,    0.121, 0.904,-1.66e-07, 1.88e-07
x458 , 1.486e-09, 9.93e-10,    1.497, 0.134,-4.59e-10, 3.43e-09
x459 ,-1.278e-07, 2.09e-06,   -0.061, 0.951,-4.22e-06, 3.97e-06
x460 ,  -1.5e-10, 1.12e-10,   -1.338, 0.181, -3.7e-10, 6.97e-11
x461 , 3.128e-07, 4.12e-07,    0.760, 0.447,-4.94e-07, 1.12e-06
x462 , 2.261e-08, 1.81e-08,    1.251, 0.211,-1.28e-08,  5.8e-08
x463 ,-1.427e-06, 1.19e-06,   -1.197, 0.231,-3.76e-06,  9.1e-07
x464 ,-1.005e-06, 1.29e-06,   -0.780, 0.435,-3.53e-06, 1.52e-06
x465 , 2.065e-06, 2.54e-06,    0.812, 0.417,-2.92e-06, 7.05e-06
x466 , 6.473e-07, 1.94e-06,    0.334, 0.738,-3.15e-06, 4.44e-06
x467 ,-2.546e-11, 4.45e-10,   -0.057, 0.954,-8.98e-10, 8.47e-10
x468 , -2.62e-06, 1.98e-06,   -1.323, 0.186, -6.5e-06, 1.26e-06
x469 , 6.056e-11, 5.51e-11,    1.099, 0.272,-4.74e-11, 1.69e-10
x470 ,-1.331e-06, 3.86e-07,   -3.445, 0.001,-2.09e-06,-5.74e-07
x471 , 6.075e-11, 2.04e-11,    2.971, 0.003, 2.07e-11, 1.01e-10
x472 ,-2.052e-08, 7.61e-08,   -0.270, 0.787, -1.7e-07, 1.29e-07
x473 ,-7.688e-10, 2.91e-09,   -0.264, 0.791,-6.47e-09, 4.93e-09
x474 , 8.005e-07, 2.23e-07,    3.595, 0.000, 3.64e-07, 1.24e-06
x475 , 1.444e-06, 2.48e-07,    5.815, 0.000, 9.57e-07, 1.93e-06
x476 ,-2.913e-07, 4.55e-07,   -0.640, 0.522,-1.18e-06,    6e-07
x477 ,   2.8e-07, 3.53e-07,    0.792, 0.428,-4.13e-07, 9.73e-07
x478 ,-3.326e-11, 8.14e-11,   -0.408, 0.683,-1.93e-10, 1.26e-10
x479 ,-1.388e-06, 3.64e-07,   -3.812, 0.000, -2.1e-06,-6.74e-07
x480 , 1.607e-09, 1.13e-09,    1.420, 0.156,-6.11e-10, 3.82e-09
x481 ,-2.379e-13, 2.97e-13,   -0.800, 0.424,-8.21e-13, 3.45e-13
x482 , 3.932e-10, 1.94e-09,    0.202, 0.840,-3.41e-09,  4.2e-09
x483 ,  1.51e-10, 5.57e-11,    2.708, 0.007, 4.17e-11,  2.6e-10
x484 , 6.562e-09, 4.23e-09,    1.553, 0.120,-1.72e-09, 1.48e-08
x485 ,-2.236e-09, 4.88e-09,   -0.458, 0.647,-1.18e-08, 7.32e-09
x486 ,-7.541e-09, 8.69e-09,   -0.868, 0.385,-2.46e-08, 9.48e-09
x487 , 8.566e-09, 4.12e-09,    2.080, 0.037, 4.96e-10, 1.66e-08
x488 , 2.849e-12, 2.11e-12,    1.352, 0.176,-1.28e-12, 6.98e-12
x489 , 2.023e-08, 7.96e-09,    2.543, 0.011, 4.64e-09, 3.58e-08
x490 , 1.446e-09, 4.81e-10,    3.009, 0.003, 5.04e-10, 2.39e-09
x491 , 2.574e-06, 1.74e-06,    1.480, 0.139,-8.35e-07, 5.98e-06
x492 ,-6.448e-08, 7.08e-08,   -0.911, 0.362,-2.03e-07, 7.43e-08
x493 , 2.412e-06, 5.22e-06,    0.462, 0.644,-7.82e-06, 1.26e-05
x494 , 2.248e-05, 5.84e-06,    3.852, 0.000,  1.1e-05, 3.39e-05
x495 , 8.575e-07, 1.05e-05,    0.082, 0.935,-1.96e-05, 2.14e-05
x496 , 1.197e-06, 8.39e-06,    0.143, 0.887,-1.53e-05, 1.76e-05
x497 ,-1.608e-09, 1.91e-09,   -0.844, 0.399,-5.34e-09, 2.13e-09
x498 , 6.686e-06, 8.66e-06,    0.772, 0.440,-1.03e-05, 2.37e-05
x499 ,-7.919e-11, 9.53e-11,   -0.831, 0.406,-2.66e-10, 1.08e-10
x500 , 2.232e-12, 3.64e-12,    0.613, 0.540, -4.9e-12, 9.36e-12
x501 , 2.626e-10, 2.78e-10,    0.944, 0.345,-2.83e-10, 8.08e-10
x502 ,-1.592e-10, 3.16e-10,   -0.504, 0.614,-7.78e-10, 4.59e-10
x503 ,-9.142e-10, 5.58e-10,   -1.639, 0.101,-2.01e-09, 1.79e-10
x504 , 2.741e-10, 4.36e-10,    0.629, 0.529, -5.8e-10, 1.13e-09
x505 ,-5.646e-14, 1.02e-13,   -0.551, 0.582,-2.57e-13, 1.44e-13
x506 , 2.264e-10, 4.51e-10,    0.502, 0.616,-6.57e-10, 1.11e-09
x507 , 1.905e-08, 1.15e-08,    1.663, 0.096, -3.4e-09, 4.15e-08
x508 ,-1.297e-06,  1.1e-06,   -1.183, 0.237,-3.44e-06, 8.51e-07
x509 ,-1.804e-06, 1.17e-06,   -1.546, 0.122,-4.09e-06, 4.83e-07
x510 , 1.136e-06, 2.32e-06,    0.491, 0.624, -3.4e-06, 5.67e-06
x511 ,-1.179e-06, 2.81e-06,   -0.420, 0.674,-6.68e-06, 4.32e-06
x512 ,  3.62e-11, 3.44e-10,    0.105, 0.916,-6.38e-10, 7.11e-10
x513 ,-4.435e-07, 1.59e-06,   -0.279, 0.780,-3.56e-06, 2.67e-06
x514 , 4.829e-08, 3.88e-08,    1.245, 0.213,-2.77e-08, 1.24e-07
x515 , 2.153e-08, 4.25e-08,    0.507, 0.612,-6.17e-08, 1.05e-07
x516 ,-1.518e-07, 7.86e-08,   -1.930, 0.054,-3.06e-07, 2.33e-09
x517 ,-4.193e-09, 6.42e-08,   -0.065, 0.948, -1.3e-07, 1.22e-07
x518 , 1.916e-11, 1.27e-11,    1.514, 0.130,-5.64e-12,  4.4e-11
x519 ,-1.028e-07, 6.11e-08,   -1.683, 0.092,-2.22e-07, 1.69e-08
x520 , 4.478e-07, 3.04e-06,    0.148, 0.883, -5.5e-06,  6.4e-06
x521 ,-1.745e-06, 2.06e-06,   -0.848, 0.396,-5.78e-06, 2.29e-06
x522 ,-2.728e-06, 4.77e-06,   -0.572, 0.567,-1.21e-05, 6.62e-06
x523 ,  9.62e-10, 1.14e-09,    0.843, 0.399,-1.27e-09,  3.2e-09
x524 ,-4.852e-06, 4.93e-06,   -0.984, 0.325,-1.45e-05, 4.82e-06
x525 , 5.121e-07, 5.58e-06,    0.092, 0.927,-1.04e-05, 1.15e-05
x526 ,-5.528e-06, 5.43e-06,   -1.018, 0.309,-1.62e-05, 5.12e-06
x527 ,-1.294e-09, 1.37e-09,   -0.947, 0.344,-3.97e-09, 1.39e-09
x528 , 1.395e-06, 5.46e-06,    0.255, 0.798,-9.31e-06, 1.21e-05
x529 , 9.802e-07, 9.71e-06,    0.101, 0.920,-1.81e-05,    2e-05
x530 ,-1.057e-09, 2.36e-09,   -0.447, 0.655,-5.69e-09, 3.58e-09
x531 , 1.524e-05, 1.01e-05,    1.506, 0.132,-4.59e-06, 3.51e-05
x532 ,-8.169e-11, 1.75e-09,   -0.047, 0.963,-3.52e-09, 3.35e-09
x533 , 7.774e-06, 7.87e-06,    0.987, 0.323,-7.66e-06, 2.32e-05
x534 ,-3.048e-09, 1.82e-09,   -1.673, 0.094,-6.62e-09, 5.23e-10
x535 ,   -0.0017,    0.000,   -9.347, 0.000,   -0.002,   -0.001
x536 ,   -0.0003, 4.69e-05,   -6.175, 0.000,   -0.000,   -0.000
x537 ,   -0.0060,    0.001,   -8.393, 0.000,   -0.007,   -0.005
x538 ,-2.858e-05, 3.72e-05,   -0.769, 0.442,   -0.000, 4.43e-05
x539 , 7.378e-05, 7.64e-06,    9.660, 0.000, 5.88e-05, 8.87e-05
x540 , 1.177e-08, 2.22e-08,    0.530, 0.596,-3.18e-08, 5.53e-08
x541 ,   -0.0022,    0.000,   -7.470, 0.000,   -0.003,   -0.002
x542 ,-2.242e-09, 9.41e-09,   -0.238, 0.812,-2.07e-08, 1.62e-08
x543 ,    0.0001, 3.56e-05,    2.934, 0.003, 3.46e-05,    0.000
x544 , 3.816e-06, 1.46e-06,    2.605, 0.009, 9.45e-07, 6.69e-06
x545 ,   -0.0002,    0.000,   -1.990, 0.047,   -0.000,-3.48e-06
x546 , 5.547e-05,    0.000,    0.473, 0.636,   -0.000,    0.000
x547 ,   -0.0003,    0.000,   -1.260, 0.208,   -0.001,    0.000
x548 , 8.698e-05,    0.000,    0.538, 0.591,   -0.000,    0.000
x549 ,   1.3e-08, 4.16e-08,    0.312, 0.755,-6.86e-08, 9.46e-08
x550 ,    0.0011,    0.000,    6.734, 0.000,    0.001,    0.001
x551 ,    0.0005,    0.000,    3.208, 0.001,    0.000,    0.001
x552 ,   -0.0103,    0.002,   -5.764, 0.000,   -0.014,   -0.007
x553 , 3.482e-05,    0.000,    0.299, 0.765,   -0.000,    0.000
x554 ,-1.135e-05, 2.15e-05,   -0.529, 0.597,-5.34e-05, 3.07e-05
x555 , 4.781e-08, 4.04e-08,    1.183, 0.237,-3.14e-08, 1.27e-07
x556 ,    0.0009,    0.001,    1.508, 0.132,   -0.000,    0.002
x557 , 5.508e-08, 2.67e-08,    2.062, 0.039, 2.73e-09, 1.07e-07
x558 ,    0.0002,    0.000,    1.317, 0.188, -7.4e-05,    0.000
x559 ,-5.025e-06, 4.35e-06,   -1.155, 0.248,-1.36e-05,  3.5e-06
x560 , 9.295e-05,    0.000,    0.298, 0.765,   -0.001,    0.001
x561 ,   -0.0009,    0.000,   -2.800, 0.005,   -0.001,   -0.000
x562 ,   -0.0003,    0.001,   -0.405, 0.686,   -0.002,    0.001
x563 ,    0.0011,    0.000,    2.498, 0.012,    0.000,    0.002
x564 ,  3.02e-07, 1.32e-07,    2.291, 0.022, 4.37e-08,  5.6e-07
x565 ,    0.0023,    0.000,    4.803, 0.000,    0.001,    0.003
x566 ,-4.433e-05,    0.000,   -0.090, 0.928,   -0.001,    0.001
x567 ,-5.068e-05, 3.51e-05,   -1.442, 0.149,   -0.000, 1.82e-05
x568 , 7.583e-05,  6.6e-06,   11.483, 0.000, 6.29e-05, 8.88e-05
x569 , 1.335e-08, 2.31e-08,    0.578, 0.563,-3.19e-08, 5.86e-08
x570 ,   -0.0005,    0.000,   -2.419, 0.016,   -0.001,-9.17e-05
x571 ,  2.32e-10, 8.49e-09,    0.027, 0.978,-1.64e-08, 1.69e-08
x572 , -3.61e-05,  3.4e-05,   -1.061, 0.289,   -0.000, 3.06e-05
x573 , 1.008e-06, 1.29e-06,    0.783, 0.434,-1.51e-06, 3.53e-06
x574 ,   -0.0001, 9.59e-05,   -1.131, 0.258,   -0.000, 7.95e-05
x575 ,   -0.0002, 9.98e-05,   -1.530, 0.126,   -0.000,  4.3e-05
x576 ,    0.0001,    0.000,    0.503, 0.615,   -0.000,    0.001
x577 ,    0.0002,    0.000,    1.160, 0.246,   -0.000,    0.000
x578 ,-1.742e-08, 3.79e-08,   -0.459, 0.646,-9.17e-08, 5.69e-08
